,time,loc,op,status
381,65160,1.2637630491160474,0.24166666666666667,0
382,65161,1.268732308914445,0.24166666666666667,0
383,65162,1.2737015687128428,0.24166666666666667,0
384,65163,1.2786708285112405,0.24166666666666667,0
385,65164,1.2836400883096382,0.24166666666666667,0
386,65165,1.2886093481080358,0.24166666666666667,0
387,65166,1.2935786079064335,0.24166666666666667,0
388,65167,1.2985478677048312,0.24166666666666667,0
389,65168,1.303517127503229,0.24166666666666667,0
390,65169,1.3084863873016266,0.24166666666666667,0
391,65170,1.3134556471000243,0.24166666666666667,0
392,65171,1.318424906898422,0.24166666666666667,0
393,65172,1.3233941666968196,0.24166666666666667,0
394,65173,1.3283634264952173,0.24166666666666667,0
395,65174,1.333332686293615,0.24166666666666667,0
396,65175,1.3383019460920127,0.24166666666666667,0
397,65176,1.3432712058904104,0.24166666666666667,0
398,65177,1.348240465688808,0.24166666666666667,0
399,65178,1.3532097254872058,0.24166666666666667,0
400,65179,1.3581789852856034,0.24166666666666667,0
401,65180,1.3631482450840011,0.24166666666666667,0
402,65181,1.3681175048823988,0.24166666666666667,0
403,65182,1.3730867646807965,0.24166666666666667,0
404,65183,1.3780560244791942,0.24166666666666667,0
405,65184,1.3830252842775919,0.24166666666666667,0
406,65185,1.3879945440759895,0.24166666666666667,0
407,65186,1.3929638038743872,0.24166666666666667,0
408,65187,1.397933063672785,0.24166666666666667,0
409,65188,1.4029023234711826,0.24166666666666667,0
410,65189,1.4078715832695803,0.24166666666666667,0
411,65190,1.412840843067978,0.24166666666666667,0
412,65191,1.4178101028663757,0.24166666666666667,0
413,65192,1.4227793626647733,0.24166666666666667,0
414,65193,1.427748622463171,0.24166666666666667,0
415,65194,1.4327178822615687,0.24166666666666667,0
416,65195,1.4376871420599664,0.24166666666666667,0
417,65196,1.442656401858364,0.24166666666666667,0
418,65197,1.4476256616567618,0.24166666666666667,0
419,65198,1.4525949214551594,0.24166666666666667,0
420,65199,1.4575641812535571,0.24166666666666667,0
421,65200,1.4625334410519548,0.24166666666666667,0
422,65201,1.4675027008503525,0.24166666666666667,0
423,65202,1.4724719606487502,0.24166666666666667,0
424,65203,1.4774412204471479,0.24166666666666667,0
425,65204,1.4824104802455456,0.24166666666666667,0
426,65205,1.4873797400439432,0.24166666666666667,0
427,65206,1.492348999842341,0.24166666666666667,0
428,65207,1.4973182596407386,0.24166666666666667,0
429,65208,1.5022875194391363,0.24166666666666667,0
430,65209,1.507256779237534,0.24166666666666667,0
431,65210,1.5122260390359317,0.24166666666666667,0
432,65211,1.5171952988343294,0.24166666666666667,0
433,65212,1.522164558632727,0.24166666666666667,0
434,65213,1.5271338184311247,0.24166666666666667,0
435,65214,1.5321030782295224,0.24166666666666667,0
436,65215,1.53707233802792,0.24166666666666667,0
437,65216,1.5420415978263178,0.24166666666666667,0
438,65217,1.5470108576247155,0.24166666666666667,0
439,65218,1.5519801174231131,0.24166666666666667,0
440,65219,1.5569493772215108,0.24166666666666667,0
441,65220,1.5619186370199085,0.24166666666666667,0
442,65221,1.5668878968183062,0.24166666666666667,0
443,65222,1.5718571566167039,0.24166666666666667,0
444,65223,1.5768264164151016,0.24166666666666667,0
445,65224,1.5817956762134993,0.24166666666666667,0
446,65225,1.586764936011897,0.24166666666666667,0
447,65226,1.5917341958102946,0.24166666666666667,0
448,65227,1.5967034556086923,0.24166666666666667,0
449,65228,1.60167271540709,0.24166666666666667,0
450,65229,1.6066419752054877,0.24166666666666667,0
451,65230,1.6116112350038854,0.24166666666666667,0
452,65231,1.616580494802283,0.24166666666666667,0
453,65232,1.6215497546006807,0.24166666666666667,0
454,65233,1.6265190143990784,0.24166666666666667,0
455,65234,1.631488274197476,0.24166666666666667,0
456,65235,1.6364575339958738,0.24166666666666667,0
457,65236,1.6414267937942715,0.24166666666666667,0
458,65237,1.6463960535926692,0.24166666666666667,0
459,65238,1.6513653133910668,0.24166666666666667,0
460,65239,1.6563345731894645,0.24166666666666667,0
461,65240,1.6613038329878622,0.24166666666666667,0
462,65241,1.66627309278626,0.24166666666666667,0
463,65242,1.6712423525846576,0.24166666666666667,0
464,65243,1.6762116123830553,0.24166666666666667,0
465,65244,1.681180872181453,0.24166666666666667,0
466,65245,1.6861501319798506,0.24166666666666667,0
467,65246,1.6911193917782483,0.24166666666666667,0
468,65247,1.696088651576646,0.24166666666666667,0
469,65248,1.7010579113750437,0.24166666666666667,0
470,65249,1.7060271711734414,0.24166666666666667,0
471,65250,1.710996430971839,0.24166666666666667,0
472,65251,1.7159656907702368,0.24166666666666667,0
473,65252,1.7209349505686344,0.24166666666666667,0
474,65253,1.7259042103670321,0.24166666666666667,0
475,65254,1.7308734701654298,0.24166666666666667,0
476,65255,1.7358427299638275,0.24166666666666667,0
477,65256,1.7408119897622252,0.24166666666666667,0
478,65257,1.7457812495606229,0.24166666666666667,0
479,65258,1.7507505093590205,0.24166666666666667,0
480,65259,1.7557197691574182,0.24166666666666667,0
481,65260,1.760689028955816,0.24166666666666667,0
482,65261,1.7656582887542136,0.24166666666666667,0
483,65262,1.7706275485526113,0.24166666666666667,0
484,65263,1.775596808351009,0.24166666666666667,0
485,65264,1.7805660681494067,0.24166666666666667,0
486,65265,1.7855353279478043,0.24166666666666667,0
487,65266,1.790504587746202,0.24166666666666667,0
488,65267,1.7954738475445997,0.24166666666666667,0
489,65268,1.7954738475445997,0.24166666666666667,0
490,65269,1.7954738475445997,0.24166666666666667,0
491,65270,1.7954738475445997,0.24166666666666667,0
492,65271,1.7954738475445997,0.24166666666666667,0
493,65272,1.7954738475445997,0.24166666666666667,0
494,65273,1.7954738475445997,0.24166666666666667,0
495,65274,1.7954738475445997,0.24166666666666667,0
496,65275,1.7954738475445997,0.24166666666666667,0
497,65276,1.7954738475445997,0.24166666666666667,0
498,65277,1.7954738475445997,0.24166666666666667,0
499,65278,1.7954738475445997,0.24166666666666667,0
500,65279,1.7954738475445997,0.24166666666666667,0
501,65280,1.7954738475445997,0.24166666666666667,0
502,65281,1.7954738475445997,0.24166666666666667,0
503,65282,1.8009521599161635,0.24166666666666667,0
504,65283,1.8064304722877274,0.24166666666666667,0
505,65284,1.8119087846592912,0.24166666666666667,0
506,65285,1.817387097030855,0.24166666666666667,0
507,65286,1.8228654094024188,0.24166666666666667,0
508,65287,1.8283437217739826,0.24166666666666667,0
509,65288,1.8338220341455465,0.24166666666666667,0
510,65289,1.8393003465171103,0.24166666666666667,0
511,65290,1.844778658888674,0.24166666666666667,0
512,65291,1.850256971260238,0.24166666666666667,0
